"","Band.Number","Band.Size","Specie.Name","Specie.Code","Date","Location","Session","date2","year","month","day","location2","Habitat","session2","Body_Size","Diet","Foraging_Strata","Primary_Habitat","Habitat_Breadth","Rarity_Range_Size","Rarity_Local_Abund","Rarity_Neotrop_Abund"
"476","A50193","X","ERIOCNEMIS LUCIANI","ERLU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",2,"L","F","F"
"477","A50192","X","COELIGENA IRIS","COIR","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",4,"L","F","F"
"478","A50191","X","AGLAEACTIS CUPRIPENNIS","AGCU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/C","N",3,"L","F","C"
"479","A50190","X","COELIGENA IRIS","COIR","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",4,"L","F","F"
"480","A50189","X","ERIOCNEMIS LUCIANI","ERLU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",2,"L","F","F"
"481","A50188","X","COELIGENA IRIS","COIR","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",4,"L","F","F"
"482","A50187","X","ERIOCNEMIS LUCIANI","ERLU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",2,"L","F","F"
"483","A50186","X","ERIOCNEMIS LUCIANI","ERLU","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",1,"N","U/M","F",2,"L","F","F"
"484","A50185","X","LAFRESNAYA LAFRESNAYI","LALA","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",1,"N","U","F",2,"L","F","F"
"485","343","0","DIGLOSSA HUMERALIS","DIHU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",2,"O","U/C","N",4,"L","F","F"
"486","344","0","BASILEUTERUS CORONATUS","BACO","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",2,"I","U","F",2,"L","C","C"
"487","345","0","DIGLOSSOPIS CYANEA","DICY","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",2,"O","C","F",2,"L","F","C"
"488","346","0","DIGLOSSOPIS CYANEA","DICY","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",2,"O","C","F",2,"L","F","C"
"489","347","0","SYNALLAXIS AZARAE","SYAZ","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",3,"I","U","E",2,"L","C","C"
"490","348","0","SYNALLAXIS AZARAE","SYAZ","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",3,"I","U","E",2,"L","C","C"
"491","349","0","DIGLOSSA HUMERALIS","DIHU","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",2,"O","U/C","N",4,"L","F","F"
"492","350","0","SYNALLAXIS AZARAE","SYAZ","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",3,"I","U","E",2,"L","C","C"
"493","351","0","CATAMENIA INORNATA","CAIN","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",2,"G","T/U","N",5,"L","C","F"
"494","352","0","DIGLOSSOPIS CYANEA","DICY","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",2,"O","C","F",2,"L","F","C"
"495","2040","2","BUARREMON TORQUATUS","BUTO","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",4,"O","T/U","F",2,"L","U","F"
"496","2035","2","BUARREMON TORQUATUS","BUTO","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",4,"O","T/U","F",2,"L","U","F"
"497","2036","2","GRALLARIA RUFULA","GRRU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",4,"I","T","F",2,"L","F","C"
"498","2037","2","GRALLARIA RUFULA","GRRU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",4,"I","T","F",2,"L","F","C"
"499","2038","2","BUARREMON TORQUATUS","BUTO","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",4,"O","T/U","F",2,"L","U","F"
"500","2039","2","GRALLARIA RUFULA","GRRU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",4,"I","T","F",2,"L","F","C"
"501","1A061","1A","ATLAPETES LATINUCHUS","ATLA","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",4,"O","U","E",3,"L","F","C"
"502","0A084","0A","MYIOBORUS MELANOCEPHALUS","MYME","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",2,"I","M/C","F",2,"L","C","C"
"503","0A085","0A","HELLMAYREA GULARIS","HEGU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",2,"I","U","F",2,"L","U","U"
"504","0A086","0A","MYIOBORUS MELANOCEPHALUS","MYME","19-Nov-08","MAIN","TERCERA 08",2008-11-19,2008,11,19,"Mazan","forest.intro","TERCERA",2,"I","M/C","F",2,"L","C","C"
"505","1B051","1B","SCYTALOPUS LATRANS","SCLA","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",3,"I","U","F",1,"L","C","C"
"506","3014","3","CYANOLYCA TURCOSA","CYTU","18-Nov-08","MAIN","TERCERA 08",2008-11-18,2008,11,18,"Mazan","forest.intro","TERCERA",4,"O","C","F",2,"L","F","C"
"507","353","0","CATAMENIA INORNATA","CAIN","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"G","T/U","N",5,"L","C","F"
"508","356","0","HEMISPINGUS SUPERCILIARIS","HESU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",3,"I","C","F",3,"L","F","F"
"509","357","0","HEMISPINGUS SUPERCILIARIS","HESU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",3,"I","C","F",3,"L","F","F"
"510","358","0","BASILEUTERUS CORONATUS","BACO","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"I","U","F",2,"L","C","C"
"511","355","0","DIGLOSSA HUMERALIS","DIHU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"O","U/C","N",4,"L","F","F"
"512","359","0","CISTOTHORUS PLATENSIS","CIPL","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"I","U","P",5,"L","U","F"
"513","360","0","CISTOTHORUS PLATENSIS","CIPL","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"I","U","P",5,"L","U","F"
"514","361","0","DIGLOSSA HUMERALIS","DIHU","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"O","U/C","N",4,"L","F","F"
"515","362","0","CONIROSTRUM CINEREUM","COCI","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"I","U/C","N",4,"L","U","C"
"516","363","0","MARGARORNIS SQUAMIGER","MASQ","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",3,"I","M","F",2,"L","F","C"
"517","364","0","MARGARORNIS SQUAMIGER","MASQ","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",3,"I","M","F",2,"L","F","C"
"518","365","0","MARGARORNIS SQUAMIGER","MASQ","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",3,"I","M","F",2,"L","F","C"
"519","366","0","DIGLOSSA HUMERALIS","DIHU","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"O","U/C","N",4,"L","F","F"
"520","0A076","RE","MECOCERCULUS LEUCOPHRYS","MELE","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"I","C","D",3,"L","C","C"
"521","A52483","RE","ERIOCNEMIS LUCIANI","ERLU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",2,"L","F","F"
"522","99","RE","DIGLOSSA HUMERALIS","DIHU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",2,"O","U/C","N",4,"L","F","F"
"523","1165","RE","SYNALLAXIS AZARAE","SYAZ","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",3,"I","U","E",2,"L","C","C"
"524","0A014","RE","ANAIRETES PARULUS","ANPA","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"I","U/C","N",4,"L","R","C"
"525","A49830","RE","ERIOCNEMIS LUCIANI","ERLU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",2,"L","F","F"
"526","A52206","RE","METALLURA BARONI","MEBA","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/C","D",3,"S","C","F"
"527","A50144","RE","ERIOCNEMIS LUCIANI","ERLU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",2,"L","F","F"
"528","27","RE","CISTOTHORUS PLATENSIS","CIPL","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"I","U","P",5,"L","U","F"
"529","1181","RE","SYNALLAXIS AZARAE","SYAZ","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",3,"I","U","E",2,"L","C","C"
"530","353","RE","CATAMENIA INORNATA","CAIN","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"G","T/U","N",5,"L","C","F"
"531","A50188","RE","COELIGENA IRIS","COIR","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",4,"L","F","F"
"532","1159","RE","MARGARORNIS SQUAMIGER","MASQ","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",3,"I","M","F",2,"L","F","C"
"533","171","RE","DIGLOSSA HUMERALIS","DIHU","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"O","U/C","N",4,"L","F","F"
"534","A50146","RE","ERIOCNEMIS LUCIANI","ERLU","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",2,"L","F","F"
"535","A52291","X","PTEROPHANES CYANOPTERUS","PTCY","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"N","U/M","D",2,"S","R","F"
"536","A52494","X","METALLURA TYRIANTHINA","METY","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","D",3,"L","C","C"
"537","A50183","X","ERIOCNEMIS LUCIANI","ERLU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",2,"L","F","F"
"538","A50184","X","ERIOCNEMIS LUCIANI","ERLU","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",2,"L","F","F"
"539","A50182","X","COELIGENA IRIS","COIR","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","F",4,"L","F","F"
"540","A52493","X","METALLURA TYRIANTHINA","METY","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",1,"N","U/M","D",3,"L","C","C"
"541","1B054","1B","DIGLOSSOPIS CYANEA","DICY","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"O","C","F",2,"L","F","C"
"542","1B052","1B","DIGLOSSOPIS CYANEA","DICY","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",2,"O","C","F",2,"L","F","C"
"543","1A063","1A","ATLAPETES LATINUCHUS","ATLA","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",4,"O","U","E",3,"L","F","C"
"544","1A064","1A","DUBUSIA TAENIATA","DUTA","21-Nov-08","LLAV","TERCERA 08",2008-11-21,2008,11,21,"Llaviucu","forest.sec","TERCERA",4,"O","U/M","D",2,"L","R","U"
"545",NA,"UNB","ANAIRETES PARULUS","ANPA","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",1,"I","U/C","N",4,"L","R","C"
"546","2041","2","PAROARIA CORONATA","PACO","20-Nov-08","LLAV","TERCERA 08",2008-11-20,2008,11,20,"Llaviucu","forest.sec","TERCERA",4,"O","T/U","N",2,"L","R","F"
"547","1134","1","DIGLOSSOPIS CYANEA","DICY","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"548","1135","1","DIGLOSSOPIS CYANEA","DICY","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"549","1136","1","SCYTALOPUS LATRANS","SCLA","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"550","1137","1","CRANIOLEUCA ANTISIENSIS","CRAN","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"I","M/C","F",1,"L","U","F"
"551","1138","1","CRANIOLEUCA ANTISIENSIS","CRAN","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"I","M/C","F",1,"L","U","F"
"552","1139","1","BASILEUTERUS NIGROCRISTATUS","BANI","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"553","1140","1","DIGLOSSOPIS CYANEA","DICY","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"554","1141","1","DIGLOSSOPIS CYANEA","DICY","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"555","A52332","X","COELIGENA IRIS","COIR","11-Aug-07","MAIN","SEGUNDA 07",2007-08-11,2007,8,11,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"556","A52436","X","METALLURA TYRIANTHINA","METY","11-Aug-07","MAIN","SEGUNDA 07",2007-08-11,2007,8,11,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"557","A52437","X","COELIGENA IRIS","COIR","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"558","A52333","X","METALLURA TYRIANTHINA","METY","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"559","A52438","X","COELIGENA IRIS","COIR","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"560","A52334","X","COELIGENA IRIS","COIR","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"561","A52335","X","HELIANGELUS VIOLA","HEVI","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"562","A52336","X","COELIGENA IRIS","COIR","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"563","A52337","X","HELIANGELUS VIOLA","HEVI","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"564","A52439","X","METALLURA TYRIANTHINA","METY","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"565","1081","RE","SCYTALOPUS LATRANS","SCLA","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"566","1A016","RE","BUARREMON TORQUATUS","BUTO","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"567","1109","RE","BASILEUTERUS CORONATUS","BACO","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"568","1106","RE","SYNALLAXIS AZARAE","SYAZ","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"I","U","E",2,"L","C","C"
"569","A52438","RE","COELIGENA IRIS","COIR","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"570","1115","RE","BASILEUTERUS NIGROCRISTATUS","BANI","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"571","1113","RE","BASILEUTERUS CORONATUS","BACO","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"572","A50089","RE","ERIOCNEMIS LUCIANI","ERLU","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"573","2019","RE","THRIPADECTES FLAMMULATUS","THFL","11-Aug-07","MAIN","SEGUNDA 07",2007-08-11,2007,8,11,"Mazan","forest.intro","SEGUNDA",4,"I","U","F",2,"L","R","U"
"574","1A010","RE","BUARREMON TORQUATUS","BUTO","11-Aug-07","MAIN","SEGUNDA 07",2007-08-11,2007,8,11,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"575","3008","3","TURDUS FUSCATER","TUFU","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",4,"O","T/C","F",5,"L","C","C"
"576","3009","3","GRALLARIA RUFICAPILLA","GRRF","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",4,"I","T","E",2,"L","U","C"
"577","1A042","1A","BUARREMON TORQUATUS","BUTO","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"578","1A043","1A","ATLAPETES LATINUCHUS","ATLA","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"579","187","0","DIGLOSSA HUMERALIS","DIHU","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"580","188","0","TANGARA VASSORII","TAVA","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"O","C","F",3,"L","F","F"
"581","189","0","HELLMAYREA GULARIS","HEGU","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","U","U"
"582","190","0","CRANIOLEUCA ANTISIENSIS","CRAN","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",3,"I","M/C","F",1,"L","U","F"
"583","191","0","DIGLOSSA HUMERALIS","DIHU","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"584","0A054","0A","MYIOBORUS MELANOCEPHALUS","MYME","14-Aug-07","MAIN","SEGUNDA 07",2007-08-14,2007,8,14,"Mazan","forest.intro","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"585","192","0","HEMISPINGUS SUPERCILIARIS","HESU","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",3,"I","C","F",3,"L","F","F"
"586","0A055","0A","MYIOBORUS MELANOCEPHALUS","MYME","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",2,"I","M/C","F",2,"L","C","C"
"587","1142","1","SCYTALOPUS LATRANS","SCLA","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",3,"I","U","F",1,"L","C","C"
"588","1143","1","THLYPOPSIS ORNATA","THOR","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",2,"I","U/C","N",3,"L","U","F"
"589","1144","1","SYNALLAXIS AZARAE","SYAZ","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",3,"I","U","E",2,"L","C","C"
"590","1145","1","THLYPOPSIS ORNATA","THOR","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",2,"I","U/C","N",3,"L","U","F"
"591","1146","1","DIGLOSSOPIS CYANEA","DICY","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",2,"O","C","F",2,"L","F","C"
"592","1147","1","SCYTALOPUS LATRANS","SCLA","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",3,"I","U","F",1,"L","C","C"
"593","1148","1","DIGLOSSOPIS CYANEA","DICY","21-Nov-07","MASE","TERCERA 07",2007-11-21,2007,11,21,"Mazan","forest.prim","TERCERA",2,"O","C","F",2,"L","F","C"
"594","1A045","1A","BUARREMON TORQUATUS","BUTO","21-Nov-07","MASE","TERCERA 07",2007-11-21,2007,11,21,"Mazan","forest.prim","TERCERA",4,"O","T/U","F",2,"L","U","F"
"595","1A044","1A","ANISOGNATHUS IGNIVENTRIS","ANIG","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",4,"O","U/C","F",3,"L","F","C"
"596","3010","3","CYANOLYCA TURCOSA","CYTU","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",4,"O","C","F",2,"L","F","C"
"597","3011","3","GLAUCIDIUM JARDINII","GLJA","21-Nov-07","MASE","TERCERA 07",2007-11-21,2007,11,21,"Mazan","forest.prim","TERCERA",4,"C","C","F",1,"L","U","F"
"598","1010","RE","DIGLOSSA HUMERALIS","DIHU","21-Nov-07","MASE","TERCERA 07",2007-11-21,2007,11,21,"Mazan","forest.prim","TERCERA",2,"O","U/C","N",4,"L","F","F"
"599","A49811","RE","COELIGENA IRIS","COIR","21-Nov-07","MASE","TERCERA 07",2007-11-21,2007,11,21,"Mazan","forest.prim","TERCERA",1,"N","U/M","F",4,"L","F","F"
"600","109","RE","BASILEUTERUS CORONATUS","BACO","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",2,"I","U","F",2,"L","C","C"
"601","A49948","RE","COELIGENA IRIS","COIR","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",1,"N","U/M","F",4,"L","F","F"
"602","A52337","X","LAFRESNAYA LAFRESNAYI","LALA","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",1,"N","U","F",2,"L","F","F"
"603","A52225","X","COELIGENA IRIS","COIR","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",1,"N","U/M","F",4,"L","F","F"
"604","A52338","X","LAFRESNAYA LAFRESNAYI","LALA","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",1,"N","U","F",2,"L","F","F"
"605","A52339","X","COELIGENA IRIS","COIR","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",1,"N","U/M","F",4,"L","F","F"
"606","A52440","X","HELIANGELUS VIOLA","HEVI","20-Nov-07","MASE","TERCERA 07",2007-11-20,2007,11,20,"Mazan","forest.prim","TERCERA",1,"N","U/M","F",2,"L","U","F"
"607","2026","2","GRALLARIA RUFULA","GRRU","25-Nov-07","LLAV","TERCERA 07",2007-11-25,2007,11,25,"Llaviucu","forest.sec","TERCERA",4,"I","T","F",2,"L","F","C"
"608","1A046","1A","BUARREMON TORQUATUS","BUTO","24-Nov-07","LLAV","TERCERA 07",2007-11-24,2007,11,24,"Llaviucu","forest.sec","TERCERA",4,"O","T/U","F",2,"L","U","F"
"609","1A048","1A","BUARREMON TORQUATUS","BUTO","24-Nov-07","LLAV","TERCERA 07",2007-11-24,2007,11,24,"Llaviucu","forest.sec","TERCERA",4,"O","T/U","F",2,"L","U","F"
